objectid,parentid,title,display_location,date,active_years,biographical_notes,subject,visual_description,size,artists,printers,publishers,institutions,associated_techniques,intaglio_specific,lithography_specific,relief_specific,screenprint_specific,other_techniques,website,source,submitter,credit,display_template,filetype,filename,object_location,image_small,image_thumb
10005,,Tandem Press,"Madison, WI",,1987Ð,,Letter,letters T; P,unknown,Derrick Adams; Richard Bosman; Lynda Benglis; Suzanne Caporael; Robert Cottingham; Lesley Dill; Jim Dine; Jeffrey Gibson; Sam Gilliam; Michelle Grabner; Al Held; Robert Kelly; JosŽ Lerma; Nicola L—pez; Marie Lorenz; David Lynch; Maser; Judy Pfaff; Alison Saar; Sean Scully; David Shapiro; Alan Shields; Jaune Quick-to-See Smith; Swoon; Mickalene Thomas; Dyani White Hawk,,,Chazen Museum of Art; National Gallery of Art; The Art Institute of Chicago; J.B. Speed Art Museum; British Museum,Intaglio,,,,,,https://tandempress.wisc.edu/,,Saluti,,image,.jpeg,10005.jpeg,/objects/10005.jpeg,/objects/small/10005_sm.jpg,/objects/thumbs/10005_th.jpg
10011,,Lower East Side Printshop,"New York, NY",,Founded 1968,,Image,arm with ink roller in profile,unknown,Derrick Adams; Ghada Amer; Joell Baxter; Amy Bay; Gail Biederman; Nancy Blum; Erika Blumenfeld; Sebastiaan Bremer; Zana Briski; Beth Campbell; Karlos Carcamo; Amy Chan; Paul Chan; Saul Chernick; Theresa Chong; Cammi Climaco; Jeannie Crosby; Amy Cutler; Edward Del Rosario; Shoshana Dentz; Blane De St. Croix; Mark Dion; Thomas Dozol; Angie Drakopoulos; Nicolas Dumit Estevez; Heide Fasnacht; Joe Figm; Rosemarie Fiore; Ivan Forde; LaToya Ruby Frazier; Deborah Grant; Joanne Greenbaum; Jose Guinto; Arturo Herrera; Havard Homstvedt; Wennie Huang; Matthew Day Jackson; Marie Jager; Hong Seon Jang; Jennie C. Jones; Amy Kao; Darina Karpov; Jane Kent; Fawad Khan; David Kramer; Steve Lambert; Fabienne Lasserre; Geraldine Lau; Jonggeon Lee; Joan Linder; Chris Martin; Steve McClure; Ryan McGinness; Steven Millar; Carlos Motta; Carrie Moyer; David Opdyke; Bruce Pearson; Sheila Pepe; Emilio Perez; Enoc Perez; Danica Phelps; Chloe Piene; William Powhida; Daniel Reiser; Daniel Rich; Gina Ruggeri; Juan S‡nchez; Michael Schall; Dread Scott; Kate Shepherd; Jean Shin; James Siena; Amy Sillman & Jef Scharf; Kiki Smith; Shinique Smith; Sunny Smith; Philip Taaffe; Alison Elizabeth Taylor; Dannielle Tegeder; Mary Temple; Hank Willis Thomas; Janaina TschŠpe; Mark Dean Veca; William Villalongo; Kara Walker; Saya Woolfalk; Lynne Yamamoto,Nathan Catlin,Marie Tennyson,,Intaglio,,,,,,https://www.printshop.org/,,Saluti,,image,.jpeg,10011.jpeg,/objects/10011.jpeg,/objects/small/10011_sm.jpg,/objects/thumbs/10011_th.jpg
10016,,Goya-Girl Press,"Baltimore, MD",,Established 1996,,Image,bat; winged creature,unknown,Sam Gilliam; Ellen Gallagher; Christian Marclay; Joyce J. Scott; Liliana Porter; Sanford Biggers; Soledad SalamŽ; Jo Smail; Robin Rose; Jae Ko; Louisa Chase; Lynn Silverman; Sonya Clark; Mark Strand,Valpuri Remling; Julia Marco,,,,,,,,,https://www.goyacontemporary.com/,,Saluti,,image,.jpg,10016.jpg,/objects/10016.jpg,/objects/small/10016_sm.jpg,/objects/thumbs/10016_th.jpg
10012,,The Artist's Press,"Newtown, Johannesburg, South Africa",,Established 1991,,Letter,letters; A; P,unknown,Banele Khoza; Nabeeha Mohamed; Simon Attwood; William Kentridge,Mark Attwood,,,,,,,,,https://www.artprintsa.com/,,Saluti,,image,.jpeg,10012.jpeg,/objects/10012.jpeg,/objects/small/10012_sm.jpg,/objects/thumbs/10012_th.jpg
10112,,Kaye Dyal,"Albuquerque, NM",,circa 1964,Tamarind Institute printer fellow August-November 1964,Letter,initials; letters; alphabet; d; k; type; typography,unknown,William Nelson Copley; Robert Hansen; Walasse Ting; Miriam Schapiro; Rufino Tamayo,Kenneth Tyler; Ernest Rosenthal; Clifford Smith,Tamarind Institute,Norton Simon Museum; University of Iowa Stanley Museum of Art; Museum of Modern Art,,,,,,,,,Abigail Shim,,image,.png,10112.png,/objects/10112.png,/objects/small/10112_sm.jpg,/objects/thumbs/10112_th.jpg
10113,,Erwin Erickson,"Los Angeles, CA",,circa 1966,Tamarind Institute printer fellow February-September 1966,Shape,Shapes; Tile; curves; arcs; semi-circle; repeating; outline; diamond,unknown,Clinton Adams; Jesse Reichek; Enrique Montenegro; William Brice,Robert Bigelow,Tamarind Institute,National Gallery of Art; Los Angeles County Museum of Art; Norton Simon Museum,,,,,,,,,Abigail Shim,,image,.png,10113.png,/objects/10113.png,/objects/small/10113_sm.jpg,/objects/thumbs/10113_th.jpg
10114,,"Robert ""Bob"" Evermon",,,circa 1965-1966,"Tamarind Institute printer fellow May 1965-December 1966, Tamarind Institute research fellow January 1967-April 1968",Letter; Shape,Crest; T; Typography; scalloped,unknown,Ruth Asawa; Herbert Bayer; Frank Lobdell; Jose Luis Cuevas; George Ortman; Jesse Reicheck,,Tamarind Institute,Museum of Fine Arts Boston; National Gallery of the Arts; Norton Simon Museum; Cleveland Museum of Art; Fine Arts Museum of San Francisco; Hammer Museum; Smithsonian American Art Museum; Museum of Modern Art; The British Museum,,,,,,,https://en.wikipedia.org/wiki/Bob_Evermon,,Abigail Shim,,image,.png,10114.png,/objects/10114.png,/objects/small/10114_sm.jpg,/objects/thumbs/10114_th.jpg
10115,,Jurgen Fischer,"Los Angeles, CA",,circa 1965-1967,Tamarind Institute printer fellow April 1965-July 1966,Letter; Shape,Circle; initial; F; Typography,unknown,Ruth Asawa; Matsumi Kanemitsu; June Wayne; Herbert Bayer; Clinton Adams,Walter Gabrielson; Garo Antreasian,Tamarind Institute; Associated American Artists,The British Museum; National Gallery of Art; Victoria and Albert Museum; Norton Simon Museum; Museum of Modern Art; Fine Arts Museum of San Francisco,,,,,,,,,Abigail Shim,,image,.png,10115.png,/objects/10115.png,/objects/small/10115_sm.jpg,/objects/thumbs/10115_th.jpg
10116,,Manuel Fuentes,,,circa 1968-1969,Tamarind Institute printer fellow September 1967-April 1969,Letter; Shape,Shape; circle; initials; name; design; M; F,unknown,Clinton Adams; Michael Mazur; Ed Ruscha; Ken Price; Carol Summers; Eleanore Mikus; Seymour Rosofsky; H.C. Westermann; Leon Polk Smith,Donald Kelley; Jean Milant; Kenjilo Nanao; Robert Rogers; Dan Socha; John Sommers,Tamarind Institute,National Gallery of Art; Norton Simon Museum; Fine Arts Museum of San Francisco; Amon Carter Museum of American Art; Smithsonian American Art Museum,,,,,,,,,Abigail Shim,,image,.png,10116.png,/objects/10116.png,/objects/small/10116_sm.jpg,/objects/thumbs/10116_th.jpg
10117,,Joe Funk,"Venice, CA",,1960-1965,Tamarind Institute printer fellow July 1960-June 1961,Letter; Shape,Circle; Initials; Name; J; F; Shape; Design,unknown,Jean Charlot; Man Ray; Max Ernst; Emerson Woelffer; June Wayne; Clinton Adams; Harold Altman; Glen E. Alps; Joe Goode; Richard Diebenkorn; Josef Albers; Charles White; Wall Batterton; Karl Schrag; Misch Kohn; Ed Ruscha,Garo Antreasian; Joe Zirker,Kanthos Press; Tamarind Institute; Joseph Graphics; Joseph Press,National Gallery of Art; Detroit Institute of Arts; Norton Simon Museum; Hammer Museum; Richard Diebenkorn Foundation; Victoria and Albert Museum; fine arts museum of san francisco; Smithsonian American Art Museum,,,,,,,https://en.wikipedia.org/wiki/Joe_Funk,,Abigail Shim,,image,.png,10117.png,/objects/10117.png,/objects/small/10117_sm.jpg,/objects/thumbs/10117_th.jpg
10118,,Walter Gabrielson,"Los Angeles, CA; Santa Barbara, CA",,circa 1965-1966,Tamarind Institute printer fellow October 1964-March 1966,Letter,Initial; last name; G; Handwriting; calligraphy; dot,unknown,June Wayne; Ruth Asawa; Ynez Johnston; Herbert Bayer; JosŽ Luis Cuevas,Jurgen Fischer; Ernest de Soto,Tamarind Institute,Victoria and Albert Museum; Norton Simon Museum; Minneapolis Institute of Art; Hammer Museum; Fine Arts Museum of San Francisco; Amon Carter Museum of American Art,,,,,,,https://www.waltergabrielson.com/Main%20Pages/About.html,,Abigail Shim,,image,.png,10118.png,/objects/10118.png,/objects/small/10118_sm.jpg,/objects/thumbs/10118_th.jpg
10119,,Robert Gardner,"Los Angeles, CA",,circa 1963-1964,Tamarind Institute printer fellow June-September 1962 and August 1963-September 1964,Letter,Initials; Overlap; R; G; Type,unknown,Sam Francis; Anni Albers; Nathan Oliveira; Gego; Gabriel Kohn; Josef Albers; Peter Takal; Dick Wray; Henry C. Pearson,Kenneth Tyler,Tamarind Institute,Amon Carter Museum of American Art; Norton Simon Museum; National Gallery of Art,,,,,,,https://www.robertgardner.net/about/,,Abigail Shim,,image,.png,10119.png,/objects/10119.png,/objects/small/10119_sm.jpg,/objects/thumbs/10119_th.jpg
